type,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index,age of turtles
s3,500,2,s3_500_2,3000,500,0,49.086,3.828,1.992,0.48889043719186764,37.436
s3,500,2,s3_500_2,3000,500,0,49.338,3.896,2.028,0.5078196116583562,36.294
s3,500,2,s3_500_2,3000,500,0,50.448,3.64,1.984,0.4747345385347289,37.662
s3,500,2,s3_500_2,3000,500,0,48.634,3.764,2.014,0.48507406341242715,38.046
s3,500,2,s3_500_2,3000,500,0,49.244,3.694,1.96,0.4763954187312159,37.758
s3,500,2,s3_500_2,3000,500,0,53.058,3.764,1.98,0.46886509103245505,38.662
s3,500,2,s3_500_2,3000,500,0,49.964,3.682,1.978,0.48763125450324274,37.172
s3,500,2,s3_500_2,3000,500,0,51.746,3.762,1.948,0.4949011711050137,35.624
s3,500,3,s3_500_3,3000,500,0,47.064,3.788,2.024,0.49961839197688257,36.086
s3,500,3,s3_500_3,3000,500,0,47.208,3.652,1.978,0.48825656668361267,36.61
s3,500,3,s3_500_3,3000,500,0,49.56,3.718,1.976,0.48860661824051627,36.896
s3,500,3,s3_500_3,3000,500,0,48.134,3.692,1.936,0.4784952839988367,36.828
s3,500,3,s3_500_3,3000,500,0,48.716,3.644,1.976,0.47538500697922664,38.81
s3,500,3,s3_500_3,3000,500,0,46.614,3.802,2.014,0.49089655468314214,35.314
s3,500,3,s3_500_3,3000,500,0,52.594,3.724,1.962,0.4890409552420429,38.76
s3,500,3,s3_500_3,3000,500,0,48.486,3.754,1.978,0.5006528069958336,36.836
s3,500,3,s3_500_3,3000,500,0,47.394,3.824,2.032,0.4946210068785077,37.072
s3,500,3,s3_500_3,3000,500,0,46.348,3.68,1.988,0.49610684387675835,37.784
s3,500,3,s3_500_3,3000,500,0,48.392,3.732,1.96,0.5032564060175231,38.464
s3,500,3,s3_500_3,3000,500,0,47.906,3.686,2.002,0.49,37.69
s3,500,3,s3_500_3,3000,500,0,48.374,3.624,1.986,0.4977851738537229,38.016
s3,500,3,s3_500_3,3000,500,0,47.484,3.742,2.002,0.5025521017605928,36.48
s3,500,3,s3_500_3,3000,500,0,47.578,3.686,1.932,0.49,35.57
s3,500,3,s3_500_3,3000,500,0,47.02,3.632,1.95,0.5033105912377712,38.012
s3,500,3,s3_500_3,3000,500,0,45.668,3.628,2.006,0.48794184111412775,37.168
s3,500,3,s3_500_3,3000,500,0,51.002,3.794,1.948,0.4836131132112467,37.33
s3,500,3,s3_500_3,3000,500,0,49.402,3.658,1.992,0.48,37.372
s3,500,3,s3_500_3,3000,500,0,46.776,3.742,1.996,0.4987658628356419,35.668
s3,500,3,s3_500_3,3000,500,0,47.88,3.84,2.008,0.4862459482038432,36.46
s3,500,3,s3_500_3,3000,500,0,49.43,3.65,1.938,0.49080631195630187,35.85
s3,500,3,s3_500_3,3000,500,0,45.084,3.784,1.998,0.4847924762665246,36.938
s3,500,3,s3_500_3,3000,500,0,45.86,3.828,1.998,0.50,34.344
s3,500,3,s3_500_3,3000,500,0,48.186,3.686,1.96,0.5031799277798535,36.174
s3,500,3,s3_500_3,3000,500,0,44.512,3.698,2.034,0.5046811646297626,34.806
s3,500,3,s3_500_3,3000,500,0,48.904,3.854,1.948,0.4928241452641911,38.428
s3,500,3,s3_500_3,3000,500,0,46.492,3.798,1.984,0.4953464682095845,37.052
s3,500,max,s3_500_max,3000,500,0,51.676,3.658,2.014,0.5193010294914465,35.626
s3,500,3,s3_500_3,3000,500,0,46.724,3.774,1.96,0.47548018149131066,35.638
s3,500,3,s3_500_3,3000,500,0,48.728,3.644,1.952,0.47,35.612
s3,500,max,s3_500_max,3000,500,0,50.096,3.778,2.068,0.5070562120728203,38.346
s3,500,max,s3_500_max,3000,500,0,49.582,3.612,2.05,0.5066558831834133,36.918
s3,500,max,s3_500_max,3000,500,0,49.382,3.702,2.028,0.5118188003726054,37.608
s3,500,max,s3_500_max,3000,500,0,51.374,3.822,2.096,0.5200120683614281,36.68
s3,500,max,s3_500_max,3000,500,0,50.59,3.85,2.058,0.5045505435856886,37.968
s3,500,max,s3_500_max,3000,500,0,56.852,3.728,1.924,0.5096489129670022,38.738
s3,500,max,s3_500_max,3000,500,0,48.152,3.7,2.102,0.5177890014952649,38.138
s3,500,max,s3_500_max,3000,500,0,51.966,3.626,1.994,0.5142376938767654,37.14
s3,500,max,s3_500_max,3000,500,0,50.658,3.734,2.008,0.49882782581231033,36.82
s3,500,max,s3_500_max,3000,500,0,49.284,3.798,2.114,0.5025389172956741,38.688
s3,500,max,s3_500_max,3000,500,0,54.074,3.754,2.058,0.5180368384066277,39.536
s3,500,max,s3_500_max,3000,500,0,51.64,3.784,2.066,0.5041725793958168,37.874
s3,500,max,s3_500_max,3000,500,0,52.638,3.746,2.01,0.5089811163038109,37.61
s3,500,max,s3_500_max,3000,500,0,52.636,3.786,1.994,0.5029236264153812,39.148
s3,500,max,s3_500_max,3000,500,0,52.482,3.814,2.156,0.5061807857932243,37.012
s3,500,max,s3_500_max,3000,500,0,44.71,3.776,2.134,0.4990007604562738,35.978
s3,500,max,s3_500_max,3000,500,0,53.924,3.81,1.984,0.5070328610637194,38.606
s3,500,max,s3_500_max,3000,500,0,52.3,3.724,1.978,0.5033488336520077,40.28
s3,500,max,s3_500_max,3000,500,0,46.746,3.74,2.088,0.5026167800453514,37.13
s3,500,max,s3_500_max,3000,500,0,51.494,3.746,2.036,0.5346821765642596,36.936
s3,500,max,s3_500_max,3000,500,0,49.778,3.706,2.016,0.5114796898228139,38
s3,500,max,s3_500_max,3000,500,0,51.128,3.648,2.04,0.5016396495071199,38.232
s3,500,max,s3_500_max,3000,500,0,49.67,3.81,2.086,0.5176082947453191,36.37
s3,500,max,s3_500_max,3000,500,0,49.604,3.796,2.114,0.5223433594064989,38.886
s3,500,max,s3_500_max,3000,500,0,52.992,3.778,2.004,0.4857758152173917,40.1
s3,500,max,s3_500_max,3000,500,0,51.434,3.896,2.124,0.5089793521794919,39.382
s3,500,max,s3_500_max,3000,500,0,50.274,3.842,2.1,0.51,38.716
s3,500,max,s3_500_max,3000,500,0,52.436,3.842,2.03,0.49332092455564863,39.036
s3,500,max,s3_500_max,3000,500,0,54.878,3.78,2.068,0.5307481322205619,39.118
s3,1000,1,s3_1000_1,3000,1000,0,25.771,3.694,1.693,0.4619207248457571,32.236
s3,1000,1,s3_1000_1,3000,1000,0,26.653,3.79,1.615,0.4541283532810568,31.713
s3,1000,1,s3_1000_1,3000,1000,0,26.352,3.768,1.638,0.4696622647237394,34.606
s3,1000,1,s3_1000_1,3000,1000,0,27.697,3.691,1.633,0.45578001227569825,33.267
s3,1000,1,s3_1000_1,3000,1000,0,27.796,3.8,1.638,0.4535365520218739,32.662
s3,1000,1,s3_1000_1,3000,1000,0,27.384,3.72,1.618,0.4709420829681571,34.77
s3,1000,1,s3_1000_1,3000,1000,0,27.117,3.744,1.609,0.46438422391857503,33.669
s3,1000,1,s3_1000_1,3000,1000,0,26.12,3.818,1.659,0.46133499234303293,32.379
s3,1000,1,s3_1000_1,3000,1000,0,27.242,3.715,1.604,0.4588451655531903,33.222
s3,1000,1,s3_1000_1,3000,1000,0,26.229,3.733,1.652,0.47231808303785894,32.146
s3,1000,1,s3_1000_1,3000,1000,0,27.33,3.761,1.591,0.4632888401024516,33.279
s3,1000,1,s3_1000_1,3000,1000,0,26.676,3.705,1.616,0.46297533363322846,33.323
s3,1000,1,s3_1000_1,3000,1000,0,27.407,3.662,1.588,0.4505955777721026,33.433
s3,1000,1,s3_1000_1,3000,1000,0,25.563,3.741,1.628,0.46244865626100223,32.356
s3,1000,1,s3_1000_1,3000,1000,0,26.3,3.793,1.615,0.4684507224334606,33.327
s3,1000,1,s3_1000_1,3000,1000,0,26.285,3.774,1.633,0.45961883203347953,33.911
s3,1000,1,s3_1000_1,3000,1000,0,26.331,3.663,1.639,0.47425266795792076,34.632
s3,1000,1,s3_1000_1,3000,1000,0,26.642,3.662,1.632,0.45572704751895565,31.983
s3,1000,1,s3_1000_1,3000,1000,0,25.717,3.758,1.661,0.46223972469572705,32.492
s3,1000,1,s3_1000_1,3000,1000,0,26.095,3.697,1.618,0.47119528645334374,33.652
s3,1000,1,s3_1000_1,3000,1000,0,27.03,3.736,1.594,0.4724885682574915,34.777
s3,1000,1,s3_1000_1,3000,1000,0,27.719,3.766,1.632,0.46,34.152
s3,1000,1,s3_1000_1,3000,1000,0,26.788,3.754,1.667,0.47514364640883944,33.186
s3,1000,1,s3_1000_1,3000,1000,0,27.025,3.684,1.639,0.4630466975023129,33.147
s3,1000,1,s3_1000_1,3000,1000,0,26.573,3.653,1.636,0.4656629285364846,33.367
s3,1000,1,s3_1000_1,3000,1000,0,27.137,3.746,1.623,0.4779976047462878,34.118
s3,1000,1,s3_1000_1,3000,1000,0,26.741,3.691,1.647,0.47,33.688
s3,1000,1,s3_1000_1,3000,1000,0,27.076,3.714,1.574,0.44631644260599773,32.78
s3,1000,1,s3_1000_1,3000,1000,0,25.582,3.6,1.633,0.4605275584395279,32.59
s3,1000,2,s3_1000_2,3000,1000,0,36.506,3.653,1.768,0.46337106229113045,34.092
s3,1000,1,s3_1000_1,3000,1000,0,25.586,3.709,1.649,0.4649047135152038,33.185
s3,1000,2,s3_1000_2,3000,1000,0,36.466,3.78,1.765,0.46123183239181703,34.55
s3,1000,2,s3_1000_2,3000,1000,0,37.054,3.68,1.751,0.45,35.516
s3,1000,2,s3_1000_2,3000,1000,0,37.073,3.66,1.727,0.44569614004801344,34.103
s3,1000,2,s3_1000_2,3000,1000,0,38.75,3.722,1.744,0.4617546838709675,34.986
s3,1000,2,s3_1000_2,3000,1000,0,37.279,3.784,1.759,0.46124469540491914,35.161
s3,1000,2,s3_1000_2,3000,1000,0,37.386,3.702,1.741,0.46579339859840635,35.402
s3,1000,2,s3_1000_2,3000,1000,0,37.816,3.751,1.78,0.46607155701290515,34.773
s3,1000,2,s3_1000_2,3000,1000,0,37.215,3.739,1.753,0.44767483541582714,35.871
s3,1000,2,s3_1000_2,3000,1000,0,36.452,3.676,1.768,0.4675168989355862,35.507
s3,1000,2,s3_1000_2,3000,1000,0,38.066,3.746,1.744,0.4588694372931224,34.516
s3,1000,2,s3_1000_2,3000,1000,0,36.657,3.711,1.756,0.4524180102026893,33.843
s3,1000,2,s3_1000_2,3000,1000,0,36.909,3.714,1.759,0.46923045869571156,35.073
s3,1000,2,s3_1000_2,3000,1000,0,37.958,3.749,1.734,0.46812266188945695,35.677
s3,1000,2,s3_1000_2,3000,1000,0,37.487,3.692,1.762,0.4666928001707254,35.658
s3,1000,2,s3_1000_2,3000,1000,0,38.681,3.734,1.732,0.45911276854269495,36.073
s3,1000,2,s3_1000_2,3000,1000,0,37.268,3.707,1.743,0.4725613394869596,34.773
s3,1000,2,s3_1000_2,3000,1000,0,38.076,3.747,1.723,0.45246738102741924,34.089
s3,1000,2,s3_1000_2,3000,1000,0,39.842,3.627,1.716,0.45705381255961064,35.96
s3,1000,2,s3_1000_2,3000,1000,0,37.512,3.664,1.748,0.47233541266794626,35.02
s3,1000,2,s3_1000_2,3000,1000,0,37.161,3.623,1.756,0.47618920373509876,35.158
s3,1000,2,s3_1000_2,3000,1000,0,36.075,3.711,1.773,0.4606987387387387,34.185
s3,1000,2,s3_1000_2,3000,1000,0,38.632,3.873,1.7,0.45911865810726943,35.718
s3,1000,2,s3_1000_2,3000,1000,0,37.454,3.659,1.751,0.46907876328296044,34.657
s3,1000,2,s3_1000_2,3000,1000,0,37.205,3.695,1.76,0.4690002687810776,34.905
s3,1000,2,s3_1000_2,3000,1000,0,38.692,3.566,1.698,0.45299172955649764,35.687
s3,1000,2,s3_1000_2,3000,1000,0,36.71,3.736,1.739,0.4515099972759465,34.634
s3,1000,2,s3_1000_2,3000,1000,0,37.796,3.791,1.731,0.4739976717112924,33.679
s3,1000,2,s3_1000_2,3000,1000,0,37.745,3.677,1.753,0.4681261359120417,34.879
s3,1000,2,s3_1000_2,3000,1000,0,37.609,3.643,1.769,0.4753398122789761,35.317
s3,1000,3,s3_1000_3,3000,1000,0,44.799,3.832,1.847,0.48,38.432
s3,1000,3,s3_1000_3,3000,1000,0,43.887,3.836,1.853,0.5000980016861479,36.791
s3,1000,3,s3_1000_3,3000,1000,0,40.587,3.72,1.924,0.4960309212309366,36.042
s3,1000,3,s3_1000_3,3000,1000,0,40.283,3.765,1.891,0.50,35.709
s3,1000,3,s3_1000_3,3000,1000,0,43.248,3.826,1.904,0.5076786903440617,37.159
s3,1000,3,s3_1000_3,3000,1000,0,43.543,3.823,1.864,0.5063040902096781,36.586
s3,1000,3,s3_1000_3,3000,1000,0,42.289,3.761,1.913,0.49545945754215076,37.863
s3,1000,3,s3_1000_3,3000,1000,0,44.433,3.769,1.872,0.49597792181486744,37.517
s3,1000,3,s3_1000_3,3000,1000,0,43.692,3.778,1.927,0.5174945070035697,36.657
s3,1000,3,s3_1000_3,3000,1000,0,42.158,3.741,1.851,0.5077362303714595,36.942
s3,1000,3,s3_1000_3,3000,1000,0,43.564,3.695,1.845,0.49243999632724306,36.346
s3,1000,3,s3_1000_3,3000,1000,0,41.07,3.713,1.893,0.49694954954954923,36.424
s3,1000,3,s3_1000_3,3000,1000,0,42.388,3.724,1.868,0.4990910163253749,37.934
s3,1000,3,s3_1000_3,3000,1000,0,41.276,3.748,1.927,0.4997820040701624,36.315
s3,1000,3,s3_1000_3,3000,1000,0,42.615,3.841,1.879,0.4909780359028518,37.15
s3,1000,3,s3_1000_3,3000,1000,0,41.096,3.697,1.923,0.5029121082343777,36.719
s3,1000,3,s3_1000_3,3000,1000,0,43.029,3.683,1.905,0.49671730693253335,37.198
s3,1000,3,s3_1000_3,3000,1000,0,44.713,3.824,1.853,0.4960224766846331,37.908
s3,1000,3,s3_1000_3,3000,1000,0,42.336,3.679,1.894,0.49330787037037066,37.037
s3,1000,3,s3_1000_3,3000,1000,0,40.297,3.808,1.941,0.5011140531553218,35.021
s3,1000,3,s3_1000_3,3000,1000,0,43.135,3.806,1.962,0.51,38.781
s3,1000,3,s3_1000_3,3000,1000,0,42.775,3.733,1.877,0.49502520163646996,37.797
s3,1000,3,s3_1000_3,3000,1000,0,43.918,3.718,1.873,0.49753399517282276,37.709
s3,1000,3,s3_1000_3,3000,1000,0,40.861,3.759,1.887,0.49454768605761057,36.146
s3,1000,3,s3_1000_3,3000,1000,0,40.331,3.685,1.915,0.5081331729934795,36.434
s3,1000,3,s3_1000_3,3000,1000,0,44.376,3.715,1.888,0.4887827654588067,37.576
s3,1000,3,s3_1000_3,3000,1000,0,42.703,3.648,1.871,0.4886360443060202,37.184
s3,1000,3,s3_1000_3,3000,1000,0,41.991,3.762,1.869,0.49024017051272895,36.478
s3,1000,3,s3_1000_3,3000,1000,0,43.694,3.833,1.871,0.49816231061472976,36.971
s3,1000,3,s3_1000_3,3000,1000,0,41.592,3.697,1.921,0.5050555395268318,35.771
s3,1000,max,s3_1000_max,3000,1000,0,49.81,3.887,1.88,0.5049955430636421,38.247
s3,1000,max,s3_1000_max,3000,1000,0,44.652,3.738,1.986,0.5260210964794413,36.411
s3,1000,max,s3_1000_max,3000,1000,0,47.482,3.747,1.884,0.5126637462617409,37.057
s3,1000,max,s3_1000_max,3000,1000,0,46.732,3.811,1.956,0.5124769322947876,38.584
s3,1000,max,s3_1000_max,3000,1000,0,44.772,3.75,1.983,0.51,37.393
s3,1000,max,s3_1000_max,3000,1000,0,45.991,3.831,1.949,0.5214653954034488,36.666
s3,1000,max,s3_1000_max,3000,1000,0,45.972,3.757,1.944,0.5051848516488298,36.829
s3,1000,max,s3_1000_max,3000,1000,0,47.251,3.709,1.946,0.5065568771031301,38.118
s3,1000,max,s3_1000_max,3000,1000,0,45.225,3.755,1.966,0.5187683139856276,37.682
s3,1000,max,s3_1000_max,3000,1000,0,43.407,3.799,1.974,0.5128186006865252,36.366
s3,1000,max,s3_1000_max,3000,1000,0,45.777,3.88,1.961,0.51,37.684
s3,1000,max,s3_1000_max,3000,1000,0,45.874,3.804,1.937,0.49561150106814295,36.229
s3,1000,max,s3_1000_max,3000,1000,0,45.652,3.759,1.933,0.49483409270130535,37.095
s3,1000,max,s3_1000_max,3000,1000,0,43.145,3.736,1.999,0.5174516398192145,36.462
s3,1000,max,s3_1000_max,3000,1000,0,47.926,3.91,1.967,0.5194405959187081,36.95
s3,1000,max,s3_1000_max,3000,1000,0,47.465,3.835,1.965,0.5189419361634895,37.274
s3,1000,max,s3_1000_max,3000,1000,0,44.074,3.721,1.973,0.5082909198166723,36.159
s3,1000,max,s3_1000_max,3000,1000,0,45.016,3.831,1.961,0.5040364314910251,36.95
s3,1000,max,s3_1000_max,3000,1000,0,46.421,3.799,1.974,0.5288633807974842,37.751
s3,1000,max,s3_1000_max,3000,1000,0,44.992,3.689,1.93,0.5040513424608822,36.977
s3,1000,max,s3_1000_max,3000,1000,0,48.202,3.756,1.931,0.5082752997800919,38.135
s3,1000,max,s3_1000_max,3000,1000,0,45.709,3.706,1.941,0.5095449255070118,37.485
s3,1000,max,s3_1000_max,3000,1000,0,46.147,3.845,1.985,0.5114673759941059,37.062
s3,1000,max,s3_1000_max,3000,1000,0,47.938,3.641,1.941,0.53,37.25
s3,1000,max,s3_1000_max,3000,1000,0,45.007,3.736,1.936,0.5063682316084168,37.381
s3,1000,max,s3_1000_max,3000,1000,0,48.113,3.828,1.934,0.52,37.48
s3,1000,max,s3_1000_max,3000,1000,0,45.821,3.779,1.967,0.5169911394338844,36.847
s3,1000,max,s3_1000_max,3000,1000,0,45.65,3.812,1.926,0.5031600438116094,36.424
s3,1000,max,s3_1000_max,3000,1000,0,47.622,3.733,1.965,0.5156237873251864,38.892
s3,1000,max,s3_1000_max,3000,1000,0,44.089,3.8,1.949,0.5103039987298428,36.421
