run number,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index
119,500,max,500_max,3000,325,0.65,3024.132308,3.763076923,1.898461538,0.492270638
121,1000,1,1000_1,3000,449,0.449,2501.069042,3.636971047,1.44766147,0.373423461
123,1000,1,1000_1,3000,410,0.41,2695.029268,3.395121951,1.492682927,0.352001325
122,1000,1,1000_1,3000,440,0.44,2424.890909,3.55,1.495454545,0.401244514
126,1000,1,1000_1,3000,423,0.423,2566.170213,3.581560284,1.482269504,0.382871668
124,1000,1,1000_1,3000,429,0.429,2628.494172,3.629370629,1.452214452,0.36142212
125,1000,1,1000_1,3000,456,0.456,2553.550439,3.502192982,1.440789474,0.364402301
127,1000,1,1000_1,3000,412,0.412,2566.046117,3.665048544,1.509708738,0.374660027
129,1000,1,1000_1,3000,430,0.43,2626.816279,3.618604651,1.451162791,0.362144212
130,1000,1,1000_1,3000,421,0.421,2590.099762,3.539192399,1.479809976,0.381533922
128,1000,1,1000_1,3000,460,0.46,2388.778261,3.541304348,1.484782609,0.385960533
131,1000,1,1000_1,3000,447,0.447,2563.049217,3.494407159,1.44295302,0.372271366
132,1000,1,1000_1,3000,468,0.468,2362.74359,3.638888889,1.47008547,0.390448347
133,1000,1,1000_1,3000,424,0.424,2638.25,3.617924528,1.466981132,0.359302801
135,1000,1,1000_1,3000,413,0.413,2760.338983,3.699757869,1.433414044,0.354056721
134,1000,1,1000_1,3000,446,0.446,2430.807175,3.625560538,1.49103139,0.383159539
136,1000,1,1000_1,3000,429,0.429,2603.473193,3.664335664,1.459207459,0.36605253
139,1000,1,1000_1,3000,442,0.442,2472.183258,3.509049774,1.484162896,0.389535109
138,1000,1,1000_1,3000,436,0.436,2534.637615,3.674311927,1.470183486,0.369427545
137,1000,1,1000_1,3000,445,0.445,2680.182022,3.604494382,1.395505618,0.362536775
141,1000,1,1000_1,3000,426,0.426,2572.561033,3.615023474,1.485915493,0.373947592
140,1000,1,1000_1,3000,452,0.452,2531.336283,3.683628319,1.449115044,0.368999213
142,1000,1,1000_1,3000,436,0.436,2431.571101,3.683486239,1.490825688,0.398525634
143,1000,1,1000_1,3000,443,0.443,2606.437923,3.577878104,1.44469526,0.351359059
144,1000,1,1000_1,3000,442,0.442,2435.282805,3.71040724,1.5,0.389832247
145,1000,1,1000_1,3000,460,0.46,2434.06087,3.667391304,1.467391304,0.381836933
146,1000,1,1000_1,3000,440,0.44,2517.327273,3.640909091,1.470454545,0.376231535
148,1000,1,1000_1,3000,407,0.407,2736.97543,3.636363636,1.457002457,0.362545524
147,1000,1,1000_1,3000,458,0.458,2429.644105,3.552401747,1.465065502,0.393967754
149,1000,1,1000_1,3000,436,0.436,2635.165138,3.577981651,1.44266055,0.360376351
150,1000,1,1000_1,3000,447,0.447,2455.243848,3.617449664,1.489932886,0.377729615
151,1000,2,1000_2,3000,537,0.537,3088.690875,3.862197393,1.739292365,0.433642461
