Latitude,Longitude
51.512932,-0.206806
51.500937,-0.15352
51.562165,-0.078932
51.528331,-0.072644
51.536948,-0.119879
51.511522,-0.061104
51.488229,-0.069121
51.476915,-0.080025
51.425139,-0.15639
51.445227,-0.166677
51.454437,-0.177103
51.489171,-0.169956
51.518325,-0.189096
51.55511,-0.150808
51.572521,-0.149799
51.537438,-0.070341
51.532117,-0.093015
51.523803,-0.063638
51.524927,-0.049001
51.439056,-0.128952
51.480248,-0.041188
51.457748,-0.103012
51.486799,-0.1603
51.50118,-0.18407
51.49902,-0.237608
51.511519,-0.200881
51.531972,-0.218227
51.565417,-0.073832
51.543023,-0.106765
51.544217,-0.083972
51.560783,-0.083492
51.451509,-0.130516
51.460828,-0.111046
51.465151,-0.036478
51.486138,-0.202888
51.468406,-0.227817
51.440934,-0.148675
51.527657,-0.083658
51.510853,-0.052197
51.511099,-0.064883
51.539494,-0.171183
51.464585,-0.141297
51.499663,-0.174377
51.569122,-0.151495
51.509709,-0.257846
51.51266,-0.226143
51.532923,-0.173623
51.536158,-0.111029
51.525306,-0.020067
51.554276,-0.105317
51.505584,-0.054425
51.560337,-0.08592
51.538515,-0.045234
51.517003,-0.066795
51.495043,-0.04512
51.455535,-0.117972
51.461908,-0.063711
51.469315,-0.028467
51.432131,-0.07284
51.426936,-0.088939
51.423739,-0.173247
51.436334,-0.179939
51.484844,-0.176207
51.463554,-0.17648
51.526685,-0.19296
51.540069,-0.208999
51.490277,-0.148751
51.54641,-0.146589
51.569611,-0.125631
51.560346,-0.092585
51.507866,-0.058636
51.496548,-0.065931
51.43722,-0.126063
51.477027,-0.058391
51.442185,-0.135702
51.474977,-0.160516
51.532376,-0.20287
51.561589,-0.18393
51.513181,-0.217821
51.567187,-0.113033
51.542795,-0.081147
51.549214,-0.121032
51.547314,-0.020813
51.499976,-0.014926
51.420144,-0.06086
51.465224,-0.100384
51.481238,-0.212961
51.42494,-0.189827
51.516573,-0.021627
51.54531,-0.125476
51.544903,-0.096836
51.456507,-0.045486
51.470937,-0.107231
51.444799,-0.206987
51.508935,-0.016612
51.509765,-0.037616
51.537998,-0.081464
51.484299,-0.044687
51.553844,-0.049322
51.547914,-0.196922
51.452467,-0.083498
51.448417,-0.090978
51.444483,-0.085214
51.443958,-0.097755
51.4364,-0.094127
51.43954,-0.083219
51.431101,-0.08573
51.43145,-0.077904
51.537696,-0.029075
51.444507,-0.182175
51.42076,-0.204505
51.536443,-0.096382
51.527996,-0.178318
51.500864,-0.19097
51.506064,-0.235376
51.544795,-0.16112
51.505998,-0.212035
51.498862,-0.157696
51.495164,-0.192219
51.502142,-0.215097
51.546396,-0.15595
51.574569,-0.140017
51.554086,-0.191874
51.53003,-0.223003
51.500842,-0.232567
51.490415,-0.185737
51.56075,-0.145256
51.498764,-0.225991
51.531511,-0.199199
51.516187,-0.258074
51.523404,-0.152655
51.526273,-0.213014
51.531737,-0.141605
51.555532,-0.129788
51.542083,-0.086571
51.504303,-0.013945
51.558081,-0.105375
51.519953,-0.069019
51.54627,-0.037344
51.500483,-0.070577
51.510362,-0.03086
51.498818,-0.034758
51.527163,-0.00864
51.55771,-0.065026
51.504536,-0.044887
51.534941,-0.132175
51.575799,-0.079555
51.552575,-0.059027
51.500609,-0.02095
51.512654,-0.015874
51.431989,-0.12845
51.477275,-0.122233
51.434291,-0.117795
51.469106,-0.061218
51.466459,-0.028144
51.422753,-0.063669
51.480107,-0.103769
51.45694,-0.102527
51.469471,-0.085075
51.447734,-0.077853
51.454057,-0.116651
51.462261,-0.016491
51.472987,-0.071363
51.45596,-0.12544
51.496145,-0.069277
51.477702,-0.182987
51.440512,-0.196046
51.470848,-0.157543
51.458191,-0.210104
51.449082,-0.22786
51.418846,-0.196382
51.486988,-0.207954
51.426425,-0.229355
51.47509,-0.163147
51.467681,-0.208509
51.459721,-0.223791
51.417574,-0.17122
51.420397,-0.179263
51.44967,-0.241236
51.441524,-0.170768
51.487572,-0.222695
51.467857,-0.217716
51.47595,-0.242673
51.448436,-0.219091
51.552767,-0.151682
51.504788,-0.249864
51.545978,-0.134102
51.555962,-0.164463
51.53445,-0.193878
51.508489,-0.204416
51.496936,-0.213989
51.4924,-0.186739
51.494672,-0.207595
51.489031,-0.175349
51.551785,-0.161848
51.513642,-0.179914
51.563916,-0.144694
51.512067,-0.256762
51.535319,-0.208291
51.52182,-0.02238
